play_id,character_chosen,first_elite,damage_taken,floor,victory
98df5485-3c9c-4036-a442-4b72e0bdb322,THE_SILENT,3 Sentries,5.0,11.0,True
99d2ec37-d402-40f9-8778-46aaf88a790b,THE_SILENT,3 Sentries,16.0,7.0,False
9c293dd0-8dfb-4c0a-b88d-37c3548b48ac,THE_SILENT,3 Sentries,15.0,7.0,False
9c60a4bd-e374-4fcf-baf4-1944beac26b7,DEFECT,3 Sentries,9.0,7.0,True
9d64e7a9-1718-42e9-8267-c33878b9c6c7,IRONCLAD,Lagavulin,6.0,11.0,True
9d73b3ee-e353-4b8d-b651-defb667cf3d2,DEFECT,3 Sentries,30.0,7.0,False
9dca7add-5a47-4bbb-8479-443ffbb39ac5,IRONCLAD,3 Sentries,23.0,7.0,True
9eab083a-ce30-44cf-a56f-47c7356624b2,THE_SILENT,Lagavulin,13.0,6.0,False
9f504e6a-0210-451e-ab67-ffbc6f74d5d2,IRONCLAD,3 Sentries,0.0,6.0,True
9fc783ec-0593-4c2b-b2a1-b49b510e6b10,THE_SILENT,3 Sentries,6.0,7.0,True
9fc7c435-0bb5-41c2-8d3f-5d70b5ebd109,IRONCLAD,3 Sentries,15.0,7.0,True
a08d1c2b-791b-40fd-b4fe-5f101eb850d5,IRONCLAD,Gremlin Nob,43.0,6.0,False
a1be7eb7-d490-4355-83ac-05f0567ce3f9,WATCHER,Gremlin Nob,12.0,7.0,True
a273a657-333f-451f-9bec-922dd4f618ab,WATCHER,3 Sentries,15.0,6.0,True
a3da8086-c7ba-4a89-929b-ee853e0b640d,IRONCLAD,3 Sentries,0.0,6.0,False
a8b9c11d-06cf-4c84-8398-440e680e81c6,DEFECT,3 Sentries,5.0,8.0,False
a8c76567-cdc4-450b-994c-1c0ef1d3794e,THE_SILENT,Lagavulin,26.0,7.0,True
a95a6615-707f-457e-9e22-5ac58ca3e2ea,DEFECT,Lagavulin,23.0,8.0,True
a9ac1f8e-97ce-4116-99c8-510a192b5b2d,DEFECT,Gremlin Nob,0.0,7.0,False
a9e65a11-5f80-4b6c-b7f7-ad34a420b3ad,IRONCLAD,Gremlin Nob,8.0,8.0,True
aba711e5-38e7-46d9-8401-5a54ee6e9565,WATCHER,3 Sentries,0.0,6.0,False
ac08baaf-4a10-4919-aeca-6c319b276415,DEFECT,Gremlin Nob,11.0,6.0,False
ad3c5954-b4ce-410e-aa42-fe03dbc5d91d,IRONCLAD,3 Sentries,25.0,8.0,True
adea2f25-5863-4510-9eb7-9c6a96aaa2c8,IRONCLAD,Lagavulin,25.0,7.0,True
ae8b588f-d9a0-4763-ac1b-2d7e5d31285d,WATCHER,Lagavulin,7.0,8.0,True
af52ba3c-bab7-4be1-883d-88e7f50994a5,DEFECT,Gremlin Nob,0.0,7.0,True
af8e9d0b-4357-43c1-84f8-79062efea7b3,DEFECT,3 Sentries,10.0,7.0,False
afed2b42-d6a4-418e-a4ec-cbe55d988515,WATCHER,Lagavulin,0.0,7.0,True
b090cadc-9ded-4a53-928f-9e0a05680a5d,THE_SILENT,Lagavulin,23.0,10.0,True
b0d1847e-003c-403b-841b-6c441cc5a8e9,DEFECT,Lagavulin,16.0,10.0,False
b1870242-e469-4105-a870-4171a8f31376,THE_SILENT,Lagavulin,17.0,6.0,False
b27a57f9-1fd9-44c6-b773-3ad01b1961b8,THE_SILENT,3 Sentries,29.0,7.0,False
b351b390-7407-4ade-b122-0dd35427f98b,THE_SILENT,Gremlin Nob,6.0,6.0,False
b3b0fb68-acf9-417f-a049-4f0426e132ac,DEFECT,3 Sentries,0.0,6.0,False
b4f246b6-2b21-4e75-94b9-28284d5cde27,THE_SILENT,Gremlin Nob,28.0,7.0,False
b60d993e-3d12-454b-a63d-f912e206af9f,THE_SILENT,Lagavulin,20.0,6.0,True
b89b99cd-1b2d-43c0-96ee-2ecdbe094988,WATCHER,3 Sentries,2.0,6.0,True
bb6d1a5c-fafa-4589-93d4-de1d892124c8,IRONCLAD,3 Sentries,25.0,6.0,True
bbecf6d2-50e5-4a53-943d-ca66ae2491ed,THE_SILENT,Gremlin Nob,0.0,6.0,True
bc18c98f-1ace-4b7e-a232-c401396dfc07,WATCHER,Lagavulin,0.0,6.0,False
bc4b7dff-16ae-4db2-805d-3692b0de657f,IRONCLAD,3 Sentries,13.0,10.0,True
bc6e98eb-0d41-488f-b65a-10c24c9d27ea,THE_SILENT,Lagavulin,0.0,11.0,True
bc744f5a-02ef-4414-b798-40f99feb0edb,WATCHER,3 Sentries,0.0,8.0,True
be220fd2-69aa-4dc0-bc93-fddb1c1d8cbe,IRONCLAD,Gremlin Nob,6.0,10.0,True
bf9ec967-3cf6-48fc-91bf-9da3627d2283,IRONCLAD,Gremlin Nob,10.0,7.0,False
bfecaf04-3f00-46e8-bc01-7b663257061c,THE_SILENT,Lagavulin,3.0,6.0,False
c07333df-616e-431a-9a56-ec6efd9ff144,THE_SILENT,Gremlin Nob,0.0,6.0,True
c076ecd2-7b70-45e3-8f70-ef07b5bb849e,WATCHER,3 Sentries,0.0,6.0,True
c4faf823-3fef-49ae-a531-ce64f9e6e02f,IRONCLAD,Lagavulin,21.0,7.0,True
c55a7a06-46cd-4c6d-9479-4754e510e40c,THE_SILENT,3 Sentries,10.0,7.0,True
c58f277d-bc87-4410-a3be-5a6ae9bfbe57,WATCHER,Lagavulin,0.0,6.0,True
c6108798-f3f4-45ed-8be1-f86de8649a35,WATCHER,3 Sentries,15.0,6.0,True
c668827b-8208-4cc3-aa3d-e8217da084c4,THE_SILENT,3 Sentries,10.0,7.0,False
c8b143a3-191f-4bc2-b131-21e590dc981f,THE_SILENT,Gremlin Nob,0.0,7.0,False
c9fb921e-0f7d-4246-9b97-919480703459,IRONCLAD,Lagavulin,18.0,6.0,False
